conc,shell1,shell2,shell3,shell4,shell5,shell6,enthalpy
0.625,0.484375,0.5625,0.4375,0.4791666666666667,0.5,0.20833333333333334,25.332324045943096
0.625,0.5,0.5208333333333334,0.4583333333333333,0.5,0.375,0.16666666666666666,24.55153784167487
0.625,0.484375,0.4375,0.5,0.4791666666666667,0.5625,0.16666666666666666,25.923641009721905
0.625,0.5,0.4583333333333333,0.5416666666666666,0.484375,0.5,0.125,25.930119925062172
0.625,0.453125,0.5208333333333334,0.5625,0.4635416666666667,0.375,0.16666666666666666,25.612158679403365
0.625,0.515625,0.3958333333333333,0.5,0.5052083333333334,0.4375,0.125,26.240443843533285
0.625,0.5,0.4166666666666667,0.5416666666666666,0.484375,0.5,0.16666666666666666,25.789653420099057
0.625,0.46875,0.6041666666666666,0.3541666666666667,0.4739583333333333,0.625,0.16666666666666666,25.83648486644961
0.625,0.40625,0.4791666666666667,0.4583333333333333,0.453125,0.4375,0.20833333333333334,29.365135619416833
0.625,0.46875,0.5625,0.4791666666666667,0.4739583333333333,0.5,0.20833333333333334,24.89143395423889
0.625,0.5,0.4791666666666667,0.5208333333333334,0.484375,0.375,0.16666666666666666,24.39895634597633
0.625,0.5,0.5208333333333334,0.5,0.484375,0.4375,0.125,24.76705332857091
0.625,0.5,0.4375,0.5625,0.484375,0.5,0.125,25.95275206095539
0.625,0.46875,0.4791666666666667,0.5416666666666666,0.46875,0.5625,0.16666666666666666,26.07692753826268
0.625,0.5625,0.375,0.4583333333333333,0.5,0.4375,0.20833333333333334,25.44781329249963
0.625,0.5,0.6041666666666666,0.375,0.484375,0.5625,0.125,24.030970503925346
0.625,0.46875,0.4791666666666667,0.5833333333333334,0.46875,0.5,0.125,25.522048628423363
0.625,0.46875,0.4375,0.4375,0.46875,0.5625,0.20833333333333334,27.685170326265506
0.625,0.484375,0.4375,0.5833333333333334,0.4739583333333333,0.5625,0.16666666666666666,25.565295993932523
0.625,0.46875,0.5,0.4791666666666667,0.46875,0.625,0.16666666666666666,26.643928865203634
0.625,0.5,0.4583333333333333,0.5,0.5,0.5625,0.16666666666666666,25.592349088634364
0.625,0.46875,0.5,0.5416666666666666,0.4739583333333333,0.5,0.125,25.44873438833747
0.625,0.515625,0.5416666666666666,0.4375,0.5052083333333334,0.4375,0.125,23.947438022121787
0.625,0.5,0.5,0.5,0.484375,0.5,0.125,24.964702755678445
0.625,0.5,0.5208333333333334,0.4166666666666667,0.5,0.5625,0.125,25.26567732344847
0.625,0.46875,0.4791666666666667,0.5416666666666666,0.46875,0.5,0.20833333333333334,26.40670539997518
0.625,0.53125,0.5416666666666666,0.3958333333333333,0.4947916666666667,0.5625,0.16666666666666666,24.607440897380002
0.625,0.46875,0.5833333333333334,0.4791666666666667,0.4739583333333333,0.4375,0.16666666666666666,25.44055416644551
0.625,0.5,0.4583333333333333,0.5416666666666666,0.484375,0.5,0.125,24.772153382888064
0.625,0.453125,0.5208333333333334,0.5,0.46875,0.4375,0.16666666666666666,26.118841501302086
0.625,0.515625,0.4583333333333333,0.5208333333333334,0.5052083333333334,0.4375,0.16666666666666666,25.786310994066298
0.625,0.5,0.5416666666666666,0.4166666666666667,0.5,0.5625,0.125,25.255749353207648
0.625,0.484375,0.5833333333333334,0.4375,0.4791666666666667,0.5625,0.20833333333333334,24.3231509081088
0.625,0.5,0.5208333333333334,0.5416666666666666,0.484375,0.3125,0.125,23.629503488657065
0.625,0.4375,0.5208333333333334,0.5,0.4583333333333333,0.4375,0.16666666666666666,26.66709685791284
0.625,0.515625,0.4166666666666667,0.5208333333333334,0.5052083333333334,0.5625,0.125,26.508217462222092
0.625,0.5625,0.4583333333333333,0.4375,0.5052083333333334,0.4375,0.16666666666666666,24.222021119319834
0.625,0.46875,0.5208333333333334,0.5416666666666666,0.4739583333333333,0.3125,0.125,25.33493746595923
0.625,0.53125,0.4583333333333333,0.4791666666666667,0.4895833333333333,0.5,0.20833333333333334,25.455568108707666
0.625,0.46875,0.5208333333333334,0.5416666666666666,0.46875,0.5,0.125,25.195654899580404
0.625,0.453125,0.4791666666666667,0.4791666666666667,0.46875,0.625,0.125,26.37834447424393
0.625,0.46875,0.5625,0.4583333333333333,0.46875,0.5625,0.125,25.019348763278686
0.625,0.546875,0.5625,0.3541666666666667,0.5416666666666666,0.375,0.20833333333333334,23.818822051631287
0.625,0.46875,0.5416666666666666,0.5,0.4739583333333333,0.5,0.16666666666666666,25.389629898243584
0.625,0.484375,0.5833333333333334,0.4791666666666667,0.4791666666666667,0.4375,0.16666666666666666,24.281105166533962
0.625,0.53125,0.4791666666666667,0.4583333333333333,0.4947916666666667,0.5625,0.16666666666666666,24.866616011597216
0.625,0.4375,0.4791666666666667,0.5625,0.4583333333333333,0.4375,0.125,26.928652411093935
0.625,0.453125,0.4583333333333333,0.5416666666666666,0.46875,0.5,0.16666666666666666,27.971238511730917
0.625,0.46875,0.4791666666666667,0.4583333333333333,0.4739583333333333,0.4375,0.20833333333333334,27.185966882272623
0.625,0.46875,0.5,0.5416666666666666,0.4739583333333333,0.5,0.125,26.055959882913157
0.625,0.5,0.4583333333333333,0.5208333333333334,0.4791666666666667,0.5,0.125,25.537232655100524
0.625,0.453125,0.5208333333333334,0.4791666666666667,0.4635416666666667,0.625,0.125,25.856720114243217
0.625,0.5,0.4791666666666667,0.4583333333333333,0.4791666666666667,0.75,0.08333333333333333,24.890960661577992
0.625,0.46875,0.4791666666666667,0.5416666666666666,0.46875,0.5,0.125,26.432702048216015
0.625,0.53125,0.4791666666666667,0.3958333333333333,0.5364583333333334,0.375,0.16666666666666666,24.98950993816834
0.625,0.46875,0.625,0.4375,0.46875,0.5,0.16666666666666666,25.22837747936137
0.625,0.390625,0.4375,0.4375,0.4427083333333333,0.5,0.25,31.4084477792494
